diagnostics_Image-original_Mean;diagnostics_Image-original_Maximum;original_shape2D_Elongation;original_shape2D_MajorAxisLength;original_shape2D_MaximumDiameter;original_shape2D_MeshSurface;original_shape2D_MinorAxisLength;original_shape2D_Perimeter;original_shape2D_PerimeterSurfaceRatio;original_shape2D_PixelSurface;original_shape2D_Sphericity;original_firstorder_10Percentile;original_firstorder_90Percentile;original_firstorder_Energy;original_firstorder_Entropy;original_firstorder_InterquartileRange;original_firstorder_Kurtosis;original_firstorder_Maximum;original_firstorder_MeanAbsoluteDeviation;original_firstorder_Mean;original_firstorder_Median;original_firstorder_Minimum;original_firstorder_Range;original_firstorder_RobustMeanAbsoluteDeviation;original_firstorder_RootMeanSquared;original_firstorder_Skewness;original_firstorder_TotalEnergy;original_firstorder_Uniformity;original_firstorder_Variance;original_glcm_Autocorrelation;original_glcm_ClusterProminence;original_glcm_ClusterShade;original_glcm_ClusterTendency;original_glcm_Contrast;original_glcm_Correlation;original_glcm_DifferenceAverage;original_glcm_DifferenceEntropy;original_glcm_DifferenceVariance;original_glcm_Id;original_glcm_Idm;original_glcm_Idmn;original_glcm_Idn;original_glcm_Imc1;original_glcm_Imc2;original_glcm_InverseVariance;original_glcm_JointAverage;original_glcm_JointEnergy;original_glcm_JointEntropy;original_glcm_MCC;original_glcm_MaximumProbability;original_glcm_SumAverage;original_glcm_SumEntropy;original_glcm_SumSquares;original_glrlm_GrayLevelNonUniformity;original_glrlm_GrayLevelNonUniformityNormalized;original_glrlm_GrayLevelVariance;original_glrlm_HighGrayLevelRunEmphasis;original_glrlm_LongRunEmphasis;original_glrlm_LongRunHighGrayLevelEmphasis;original_glrlm_LongRunLowGrayLevelEmphasis;original_glrlm_LowGrayLevelRunEmphasis;original_glrlm_RunEntropy;original_glrlm_RunLengthNonUniformity;original_glrlm_RunLengthNonUniformityNormalized;original_glrlm_RunPercentage;original_glrlm_RunVariance;original_glrlm_ShortRunEmphasis;original_glrlm_ShortRunHighGrayLevelEmphasis;original_glrlm_ShortRunLowGrayLevelEmphasis;original_glszm_GrayLevelNonUniformity;original_glszm_GrayLevelNonUniformityNormalized;original_glszm_GrayLevelVariance;original_glszm_HighGrayLevelZoneEmphasis;original_glszm_LargeAreaEmphasis;original_glszm_LargeAreaHighGrayLevelEmphasis;original_glszm_LargeAreaLowGrayLevelEmphasis;original_glszm_LowGrayLevelZoneEmphasis;original_glszm_SizeZoneNonUniformity;original_glszm_SizeZoneNonUniformityNormalized;original_glszm_SmallAreaEmphasis;original_glszm_SmallAreaHighGrayLevelEmphasis;original_glszm_SmallAreaLowGrayLevelEmphasis;original_glszm_ZoneEntropy;original_glszm_ZonePercentage;original_glszm_ZoneVariance;original_gldm_DependenceEntropy;original_gldm_DependenceNonUniformity;original_gldm_DependenceNonUniformityNormalized;original_gldm_DependenceVariance;original_gldm_GrayLevelNonUniformity;original_gldm_GrayLevelVariance;original_gldm_HighGrayLevelEmphasis;original_gldm_LargeDependenceEmphasis;original_gldm_LargeDependenceHighGrayLevelEmphasis;original_gldm_LargeDependenceLowGrayLevelEmphasis;original_gldm_LowGrayLevelEmphasis;original_gldm_SmallDependenceEmphasis;original_gldm_SmallDependenceHighGrayLevelEmphasis;original_gldm_SmallDependenceLowGrayLevelEmphasis;original_ngtdm_Busyness;original_ngtdm_Coarseness;original_ngtdm_Complexity;original_ngtdm_Contrast;original_ngtdm_Strength;Mammography_Equipment;Tipo_Tejido
196,9323151;4095;0,497523397;2184,785978;2322,026055;1727749,5;1086,982142;5939,646245;0,003437794;1727750;0,784485174;585;1919;2,75933E+12;6,299337151;599;4,465211784;4095;412,4042009;1140,197861;1025;8;4087;262,8871591;1263,750278;1,082250891;2,75933E+12;0,016168981;297013,6023;2584,918044;15552141,37;87883,01854;1858,501088;38,56544463;0,959342022;4,752636447;3,747219476;15,97789143;0,294890448;0,203205049;0,998574045;0,972365975;-0,275631569;0,984343454;0,201669629;46,15120944;0,000877124;10,85920544;0,969602278;0,006423334;92,30241888;7,275445196;474,2666332;25837,9523;0,016260235;464,5790207;2649,026375;1,316708904;3240,090504;0,021874267;0,002802697;6,701499817;1368419,801;0,861168376;0,91970887;0,134486324;0,942937089;2523,227529;0,001832079;25837,9523;0,016260235;464,5790207;2649,026375;1,316708904;3240,090504;0,021874267;0,002802697;1368419,801;0,861168376;0,942937089;2523,227529;0,001832079;6,701499817;0,91970887;0,134486324;6,921706138;1284669,248;0,743550426;0,158523568;27935,95709;475,3435428;2602,69436;1,50547475;3629,611942;0,024087278;0,005200475;0,886813518;2361,937046;0,002228744;11,08345896;1,02995E-05;51353,65896;0,129177136;0,211144705;SIEMENS_Mammomat Inspiration;C
248,7528069;3857;0,534451586;2393,286932;2510,009761;2234255,5;1279,095997;6591,518395;0,002950208;2234256;0,803870111;579;1851;3,42941E+12;6,260735987;586;5,064023245;3857;401,669943;1117,122022;1001;9;3848;254,4051949;1238,920697;1,218253973;3,42941E+12;0,016741627;286962,8796;2482,987792;16505459,36;93993,34307;1792,528056;41,30912389;0,954947883;4,926641293;3,794711969;17,03732945;0,288306548;0,19657898;0,998291586;0,969820052;-0,263508199;0,981359838;0,195975367;45,22370019;0,000875306;10,8688924;0,968285085;0,005717497;90,44740038;7,234868755;458,4592949;34660,54034;0,0168052;452,1709293;2548,538744;1,306011329;3061,420675;0,021705824;0,002491872;6,652833948;1787137,793;0,866495673;0,923121164;0,132512707;0,945332239;2434,179384;0,001695259;34660,54034;0,0168052;452,1709293;2548,538744;1,306011329;3061,420675;0,021705824;0,002491872;1787137,793;0,866495673;0,945332239;2434,179384;0,001695259;6,652833948;0,923121164;0,132512707;6,867873502;1680943,783;0,752350574;0,152123266;37405,07995;459,2723507;2502,424138;1,483278998;3423,262208;0,021651384;0,004642235;0,891406543;2284,411044;0,002033212;17,19883428;7,38057E-06;46960,48857;0,146616513;0,128804978;SIEMENS_Mammomat Inspiration;C
300,2463221;4028;0,619239468;2560,534497;2707,001662;2952101,5;1585,58402;7356,763128;0,002492043;2952102;0,827911284;607;1450;3,46094E+12;5,809868164;424;6,825188001;4028;273,4585908;1017,350159;983;8;4020;177,4656131;1082,757746;1,05794078;3,46094E+12;0,022074279;137362,9909;1894,143108;4944471,938;26177,90068;827,3339176;48,0115322;0,890302663;5,366351743;3,90177616;19,21380116;0,271933669;0,18021425;0,998182203;0,96858137;-0,187981232;0,941993242;0,180078053;41,22271839;0,001006229;10,52367904;0,982677189;0,004703337;82,44543678;6,756125843;218,8363625;61170,10525;0,022269142;211,0652767;1938,564728;1,268352352;2329,250773;0,017585714;0,002166099;6,165482809;2411349,521;0,877858322;0,930474286;0,113327713;0,950361145;1852,348315;0,001466997;61170,10525;0,022269142;211,0652767;1938,564728;1,268352352;2329,250773;0,017585714;0,002166099;2411349,521;0,877858322;0,950361145;1852,348315;0,001466997;6,165482809;0,930474286;0,113327713;6,380797737;2278149,809;0,771704301;0,137966176;65165,52305;219,899711;1918,242057;1,435404332;2623,112846;0,018737596;0,004042006;0,901287832;1752,094486;0,001777305;28,69392039;3,6122E-06;66352,17404;0,073106898;0,102017972;SIEMENS_Mammomat Inspiration;B
303,0923925;3946;0,607023478;2576,463668;2692,004643;2943976,5;1563,973936;7290,194585;0,002476309;2943977;0,834320628;641;1456;3,49705E+12;5,755678417;401;6,860080893;3941;265,4380195;1027,688556;986;8;3933;169,2304742;1089,892625;1,135302031;3,49705E+12;0,023214971;131722,1649;1919,637225;4580434,354;26649,8021;791,4621093;49,10601904;0,883159931;5,449799628;3,917707643;19,40570305;0,268006669;0,176186677;0,998046043;0,967339724;-0,177552846;0,932950514;0,177078341;41,6419044;0,001050306;10,48635367;0,972293499;0,004491917;83,2838088;6,695248207;210,1420321;64153,21991;0,02336183;203,7588542;1964,335967;1,257079754;2340,77171;0,016660164;0,002041588;6,105490871;2420505,718;0,88144356;0,93277563;0,107747438;0,951935376;1880,160988;0,001394298;64153,21991;0,02336183;203,7588542;1964,335967;1,257079754;2340,77171;0,016660164;0,002041588;2420505,718;0,88144356;0,951935376;1880,160988;0,001394298;6,105490871;0,93277563;0,107747438;6,314592518;2290120,989;0,777900435;0,133476782;68344,33999;210,85307;1943,507958;1,420449956;2626,67565;0,01776127;0,003822501;0,904390152;1781,509513;0,001687854;30,72351612;3,42723E-06;63378,89673;0,07506336;0,090567994;SIEMENS_Mammomat Inspiration;B
169,748899;4095;0,457109709;2164,517012;2319,00539;1547717,5;989,4217424;5672,793432;0,003665264;1547718;0,777416599;466;1841;2,29998E+12;6,379665047;690;3,806921085;3715;428,5556714;1088,241507;1001;9;3706;290,9164483;1219,035133;0,843442644;2,29998E+12;0,014253007;301777,0769;2405,363883;13649552,8;69441,36539;1889,598492;38,33377982;0,960233271;4,671612315;3,738937346;16,5098182;0,303371115;0,213129541;0,998285161;0,970255121;-0,29074902;0,987668473;0,209777024;44,07434294;0,000823191;10,90113036;0,970279901;0,008150646;88,14868587;7,361655153;481,983068;20334,3421;0,014375304;470,9334568;2483,45845;1,354529021;3015,279005;0,026549898;0,003184912;6,798510802;1208516,933;0,854357539;0,913947502;0,157354406;0,939823226;2365,91046;0,002264773;20334,3421;0,014375304;470,9334568;2483,45845;1,354529021;3015,279005;0,026549898;0,003184912;1208516,933;0,854357539;0,939823226;2365,91046;0,002264773;6,798510802;0,913947502;0,157354406;7,022126433;1130314,841;0,730310587;0,171470767;22059,63511;483,0114031;2422,94814;1,545300888;3366,250887;0,026594771;0,005762257;0,879778056;2200,521226;0,002623033;11,1193236;1,31337E-05;39106,53164;0,156236206;0,177681354;SIEMENS_Mammomat Inspiration;B
201,0034253;4069;0,484051582;2276,564795;2482,544662;1797339,5;1101,97479;6146,908222;0,003420004;1797340;0,773149114;496;1957;2,85484E+12;6,419839878;725;3,64826101;4069;453,1756441;1120,558208;1004;8;4061;308,1378156;1260,306106;0,891147833;2,85484E+12;0,014051432;332720,7822;2570,233981;15895706,51;85213,23176;2087,16788;39,57395802;0,962784427;4,765379507;3,761208126;16,86511618;0,297965916;0,207175157;0,99851926;0,972159015;-0,289990703;0,987838246;0,20516085;45,36888252;0,000795179;10,97510725;0,972774177;0,007352122;90,73776504;7,401696431;531,6854596;23256,97302;0,014104076;523,5690582;2649,961395;1,344804039;3189,789055;0,026541054;0,00300856;6,831522703;1416744,657;0,859177792;0,91744133;0,156730295;0,942012571;2529,516551;0,002178754;23256,97302;0,014104076;523,5690582;2649,961395;1,344804039;3189,789055;0,026541054;0,00300856;1416744,657;0,859177792;0,942012571;2529,516551;0,002178754;6,831522703;0,91744133;0,156730295;7,049444685;1327761,899;0,738737189;0,164382436;25255,19998;532,4804528;2587,96642;1,521879555;3551,587538;0,024241984;0,005345469;0,884268558;2359,798497;0,002501997;11,05156262;1,14596E-05;49988,46837;0,14754931;0,202801211;SIEMENS_Mammomat Inspiration;B
300,3364711;3581;0,504658616;2311,206394;2510,00498;1932223,5;1166,370219;6268,412839;0,003244145;1932224;0,786096786;1391;1677;4,58622E+12;4,34658937;144;30,86821538;3581;101,3905528;1531,1032;1536;27;3554;60,1562102;1540,631398;-2,236403921;4,58622E+12;0,063742366;29268,09367;3739,525646;945039,9577;-4700,903856;175,1129703;3,612554503;0,959574274;1,421961493;2,172414674;1,590580016;0,531530264;0,47756039;0,999823515;0,990228521;-0,342998254;0,974236273;0,451875349;60,8000867;0,01038737;7,194723884;0,994770695;0,022065446;121,6001734;5,309051872;44,6813812;94847,89537;0,063598811;53,12996349;3745,571298;2,08890218;7776,464009;0,001808043;0,001497388;5,364650503;947382,5313;0,635252917;0,77182925;0,410262309;0,825239704;3092,878689;0,001447592;94847,89537;0,063598811;53,12996349;3745,571298;2,08890218;7776,464009;0,001808043;0,001497388;947382,5313;0,635252917;0,825239704;3092,878689;0,001447592;5,364650503;0,77182925;0,410262309;5,538510234;929871,1346;0,481243963;0,361851968;123164,5289;46,93762878;3739,209052;2,482782535;9244,823991;0,001643503;0,001220771;0,692503273;2593,921724;0,001133129;8,560879387;7,51794E-06;11160,47546;0,004990179;0,257410352;SIEMENS_MAMMOMAT Revelation;B
238,4525662;3895;0,479213043;2116,653394;2290,003493;1536042,5;1014,327914;5641,226981;0,003672572;1536043;0,778812608;1348;1726;3,65274E+12;4,747665981;183;16,98551716;3895;129,2257303;1529,158461;1534;5;3890;77,63821098;1542,083427;-1,688690344;3,65274E+12;0,048874078;39695,69757;3869,5134;942388,6916;-5678,004497;240,7352273;3,580928717;0,970686108;1,410387344;2,172365023;1,591736255;0,534998689;0,48208315;0,999852985;0,991102893;-0,397500876;0,988411402;0,453267367;61,7270186;0,007941278;7,60005729;0,988991197;0,017262906;123,4540372;5,723329941;61,079039;58046,16424;0,049234474;69,64058682;3878,967547;2,123084139;8158,612733;0,001008969;0,000668092;5,763495181;743031,7963;0,630235948;0,767539711;0,425629054;0,822164058;3192,255113;0,000614644;58046,16424;0,049234474;69,64058682;3878,967547;2,123084139;8158,612733;0,001008969;0,000668092;743031,7963;0,630235948;0,822164058;3192,255113;0,000614644;5,763495181;0,767539711;0,425629054;5,950797946;732293,4196;0,476740182;0,367398926;75072,6852;63,6111367;3868,787668;2,513391227;9662,203352;0,001038502;0,000582772;0,687557466;2667,244554;0,000488743;5,935701255;1,24747E-05;8781,515839;0,008111374;0,253254114;SIEMENS_MAMMOMAT Revelation;B
146,0399437;4050;0,35559726;2237,417642;2481,005038;1260701,5;795,6195834;5755,153821;0,004565041;1260702;0,691598641;666;1638;1,8237E+12;6,00829369;489;5,556629905;3764;321,7002614;1120,938149;1067;9;3755;205,0316163;1202,73496;0,97195942;1,8237E+12;0,019388685;190069,0517;2345,059815;7869221,047;40366,7637;1175,35821;33,3085094;0,944883881;4,464052023;3,652084922;13,38074893;0,303085663;0,210853288;0,998546654;0,971809313;-0,254937369;0,976316381;0,20865038;45,38223651;0,00108848;10,47889286;0,968274306;0,007511399;90,76447301;6,977802271;302,1666797;22578,2092;0,019547928;290,6138126;2393,919265;1,323529157;2978,703588;0,02099314;0,003540918;6,423360179;987487,3003;0,854954036;0,916170515;0,132157185;0,940126318;2266,319856;0,002390775;22578,2092;0,019547928;290,6138126;2393,919265;1,323529157;2978,703588;0,02099314;0,003540918;987487,3003;0,854954036;0,940126318;2266,319856;0,002390775;6,423360179;0,916170515;0,132157185;6,64966135;925546,8095;0,734151932;0,164353082;24443,35369;304,2918235;2361,153566;1,527780554;3397,827411;0,025501035;0,005996748;0,881834662;2118,197282;0,002780849;9,065214542;1,23855E-05;40361,22209;0,089777878;0,22537097;SIEMENS_Mammomat Inspiration;A
129,5978789;4095;0,276103411;2384,47057;2600,003077;1125405,5;658,360459;5849,375034;0,005197571;1125406;0,642909705;476;1868;1,78174E+12;6,437016073;703;4,371271698;4095;437,2380665;1123,508239;1064;9;4086;294,5211115;1258,252168;0,762668357;1,78174E+12;0,013708058;320927,7561;2563,080651;17768593,77;68587,84026;2011,559311;31,57294938;0,969093582;4,217566525;3,604547853;13,78508198;0,323224884;0,233726397;0,99883313;0,975387059;-0,320507832;0,991876011;0,224380161;45,47619224;0,000962016;10,80470584;0,987505234;0,014008653;90,95238447;7,418100072;510,783065;14097,98274;0,013897128;482,2928628;2644,798965;1,433921532;3356,679192;0,041105126;0,004859166;6,885931381;852174,544;0,840033539;0,901410691;0,203214759;0,933146917;2497,560309;0,003291198;14097,98274;0,013897128;482,2928628;2644,798965;1,433921532;3356,679192;0,041105126;0,004859166;852174,544;0,840033539;0,933146917;2497,560309;0,003291198;6,885931381;0,901410691;0,203214759;7,11966024;790889,5777;0,70275934;0,199464261;15427,13109;513,8254404;2579,781835;1,632698777;3799,059648;0,042750861;0,009013839;0,864695077;2299,899706;0,003876963;5,467225921;2,1496E-05;42440,82701;0,117741929;0,39277349;SIEMENS_Mammomat Inspiration;A
